Date,Open,High,Low,Close,Dol
08/01/2008,60771.31,62650.11,60771.31,62080.73,1.7605
09/01/2008,62078,62673.69,61486.54,62673.69,1.7684
10/01/2008,62677.21,63614.65,62593.99,63515.48,1.757
11/01/2008,63514.16,63514.16,61942.36,61942.36,1.7471
14/01/2008,61950.01,62536.2,61643.08,62187.78,1.7342
15/01/2008,62179.8,62179.8,59896.79,59907.06,1.7521
16/01/2008,59905.53,59905.53,58077.04,58777.45,1.7729
17/01/2008,58773.45,59643.17,56734.43,57036.85,1.7856
18/01/2008,57039.43,58290.57,56241.32,57506.47,1.7852
21/01/2008,57503.31,57503.31,53486.83,53709.11,1.8306
22/01/2008,53704.88,56540.56,53609.69,56097.18,1.7924
23/01/2008,56098.33,56098.33,53010.96,54234.82,1.8245
24/01/2008,54242.44,57674.99,54242.44,57463.31,1.7855
28/01/2008,57456.89,58721.43,56360.45,58593.78,1.7839
29/01/2008,58597.3,59714.71,58597.3,59529.58,1.78
30/01/2008,59521.56,60289.41,58751.65,60289.41,1.7797
31/01/2008,60287.65,60287.65,57886.07,59490.4,1.7592
01/02/2008,59490.9,61186.94,59490.9,61079.83,1.7454
06/02/2008,61076.25,61076.25,58742.19,58968.53,1.7522
07/02/2008,58965.18,59581.4,58029.7,58965.48,1.7572
08/02/2008,58966.6,59519.68,58842.96,59075.98,1.7692
11/02/2008,59080.53,60805.18,59080.53,60643.22,1.7574
12/02/2008,60645.01,62827.74,60645.01,61805.47,1.7495
13/02/2008,61801.7,63001.92,61801.7,62590.65,1.7426
14/02/2008,62595.11,63224.11,61737.14,61818.99,1.7502
15/02/2008,61803.04,61803.04,60716.71,61271.87,1.7534
18/02/2008,61291.53,62883.46,61291.53,62801.43,1.7353
19/02/2008,62801.43,63589.61,62180.1,62296.54,1.7322
20/02/2008,62292.08,#N/A N/A,61634.16,63747.49,1.7225
21/02/2008,63747.65,64631.28,63620.38,63792.23,1.7095
22/02/2008,63780.45,64608.78,63360.23,64608.78,1.7075
25/02/2008,64604.69,65012.87,64060.18,65000.94,1.705
26/02/2008,64994.08,65399.12,63983.12,65182.61,1.6839
27/02/2008,65177.83,65968.16,64647.43,65494.85,1.6705
28/02/2008,65494.85,66005.16,65248.24,65555.08,1.6689
29/02/2008,65552.93,65552.93,63482.34,63489.3,1.6907
03/03/2008,63496.48,64643.52,63158.95,64490.46,1.672
04/03/2008,64486.44,64530.42,62745.45,63655.54,1.6859
05/03/2008,63653.49,65044.79,63653.49,64629.48,1.6701
06/03/2008,64630.53,64676.49,62974.65,62974.65,1.6789
07/03/2008,62972.65,62972.65,61382.11,61867.99,1.6834
10/03/2008,61868.59,61923.27,59995.85,59999.27,1.7064
11/03/2008,60005.77,62367.72,60005.77,62367.72,1.6822
12/03/2008,62378.06,63036.19,62022.17,62176.58,1.6738
13/03/2008,62174.62,62412.62,60167.91,62279.71,1.6918
14/03/2008,62279.71,63027.51,60709.6,61990.99,1.7119
17/03/2008,61987.36,61987.36,59342.48,60011.84,1.7226
18/03/2008,60039.82,61932.78,60039.82,61932.78,1.6891
19/03/2008,61936.19,62372.37,58805.4,58827.36,1.7205
20/03/2008,58818.12,59169.98,57824.19,58987.31,1.7328
24/03/2008,58993.66,61083.26,58993.66,59812.53,1.7465
25/03/2008,59820.02,61616.29,59820.02,61234.06,1.7309
26/03/2008,61234.06,61848.84,60758.65,61415.28,1.7251
27/03/2008,61418.15,62199.83,60678.78,60761.68,1.736
28/03/2008,60762.15,61061.67,60192.38,60452.12,1.7434
31/03/2008,60449.01,60982.43,59916.64,60968.07,1.7519
01/04/2008,60965.07,62787.75,60965.07,62774.85,1.7444
02/04/2008,62775.2,63816.23,62775.2,63364.36,1.727
